idx,bar,midi,jianpu,dur_beats,dur_symbol
0,1,72,1',1.0,
1,1,72,1',1.0,
2,1,71,7,1.0,
3,1,71,7,1.0,
4,2,71,7,1.0,
5,2,70,#6,1.0,
6,2,67,5,1.0,
7,2,67,5,1.0,
8,3,70,#6,1.0,
9,3,70,#6,1.0,
10,3,70,#6,1.0,
11,3,69,6,1.0,
12,4,69,6,1.0,
13,4,70,#6,1.0,
14,4,69,6,1.0,
15,4,70,#6,1.0,
16,5,71,7,1.0,
17,5,70,#6,1.0,
18,5,70,#6,1.0,
19,5,69,6,1.0,
20,6,68,#5,1.0,
21,6,68,#5,1.0,
22,6,65,4,0.5,_
23,6,67,5,0.5,_
24,6,68,#5,0.5,_
25,6,68,#5,0.5,_
26,7,70,#6,0.5,_
27,7,70,#6,0.5,_
28,7,69,6,0.5,_
29,7,67,5,0.5,_
30,7,65,4,0.5,_
31,7,69,6,0.5,_
32,7,70,#6,0.5,_
33,7,71,7,0.5,_
34,8,70,#6,1.0,
35,8,70,#6,0.5,_
36,8,68,#5,0.5,_
37,8,67,5,0.5,_
38,8,67,5,0.5,_
39,8,67,5,0.5,_
40,8,63,#2,0.25,=
41,8,61,#1,0.25,=
42,9,62,2,0.5,_
43,9,57,",6",0.5,_
44,9,56,",#5",0.5,_
45,9,54,",#4",0.5,_
46,9,57,",6",0.5,_
47,9,55,",5",0.5,_
48,9,53,",4",0.5,_
49,9,49,",#1",1.0,
50,10,49,",#1",1.0,
51,10,49,",#1",1.0,
52,10,49,",#1",0.5,_
53,10,50,",2",0.5,_
54,10,49,",#1",0.5,_
55,11,49,",#1",0.5,_
56,11,49,",#1",0.5,_
57,11,50,",2",0.5,_
58,11,49,",#1",0.5,_
59,11,50,",2",0.5,_
60,11,49,",#1",0.5,_
61,11,49,",#1",0.5,_
62,11,49,",#1",0.5,_
63,12,49,",#1",0.25,=
64,12,49,",#1",0.5,_
65,12,48,",1",0.25,=
66,12,48,",1",0.25,=
67,12,48,",1",0.25,=
68,12,48,",1",0.25,=
69,12,48,",1",0.25,=
70,12,48,",1",0.25,=
71,12,48,",1",0.25,=
72,12,48,",1",0.25,=
73,12,48,",1",0.25,=
74,12,48,",1",0.5,_
75,12,48,",1",0.5,_
76,13,48,",1",0.5,_
77,13,48,",1",0.5,_
78,13,48,",1",0.5,_
79,13,48,",1",0.5,_
80,13,48,",1",0.25,=
81,13,48,",1",0.25,=
82,13,49,",#1",0.25,=
83,13,49,",#1",0.5,_
84,13,50,",2",0.25,=
85,13,52,",3",0.25,=
86,13,54,",#4",0.25,=
87,14,53,",4",0.25,=
88,14,53,",4",0.25,=
89,14,55,",5",0.25,=
90,14,54,",#4",0.25,=
91,14,59,",7",0.25,=
92,14,54,",#4",0.25,=
93,14,56,",#5",0.25,=
94,14,60,1,0.25,=
95,14,56,",#5",0.25,=
96,14,60,1,0.25,=
97,14,61,#1,0.25,=
98,14,67,5,0.25,=
99,14,66,#4,0.25,=
100,14,64,3,0.25,=
101,14,61,#1,0.5,_
102,15,64,3,0.5,_
103,15,67,5,1.0,
104,15,67,5,0.5,_
105,15,62,2,1.0,
106,15,64,3,1.0,
107,16,66,#4,1.0,
108,16,67,5,1.0,
109,16,68,#5,2.0,-
